station_origin,station_destination,flows,population,jobs,distance
Abbey Road,Bank and Monument,0,599,78549,8131.4108522768565
Abbey Road,Beckton,1,599,442,8510.047005691962
Abbey Road,Blackwall,3,599,665,3775.359872440721
Abbey Road,Canary Wharf,1,599,58772,5086.404941033137
Abbey Road,Canning Town,37,599,15428,2228.874184646684
Abbey Road,Crossharbour,1,599,1208,6686.335036451772
Abbey Road,Custom House,0,599,845,3824.7899361211234
Abbey Road,Cutty Sark,2,599,1748,8503.736582025927
Abbey Road,Cyprus,7,599,850,6532.037185184198
Abbey Road,Devons Road,1,599,611,3958.290432241367
Abbey Road,East India,2,599,1522,3384.0607032803628
Abbey Road,Island Gardens,2,599,691,7706.14539257492
Abbey Road,King George V,5,599,800,6805.940949292823
Abbey Road,Langdon Park,8,599,1989,4810.6246419311165
Abbey Road,Lewisham,0,599,2400,11213.267832428128
Abbey Road,Limehouse,2,599,2969,6154.423282142327
Abbey Road,London City Airport,4,599,1941,5777.364535548587
Abbey Road,Pontoon Dock,8,599,1123,4636.026196749146
Abbey Road,Poplar,0,599,1301,4498.312601743539
Abbey Road,Prince Regent,1,599,754,4349.277514093388
Abbey Road,Royal Albert,4,599,684,5237.697526411244
Abbey Road,Shadwell,1,599,7447,6583.487279124027
Abbey Road,South Quay,7,599,4591,6089.597423698036
Abbey Road,Star Lane,7,599,1052,1397.47137890294
Abbey Road,Stratford,285,599,55954,1174.5026044800688
Abbey Road,Stratford High Street,10,599,788,655.2042983530924
Abbey Road,Stratford International,33,599,1546,2495.568417614397
Abbey Road,West Ham,130,599,5487,533.8352508210071
Abbey Road,West Silvertown,2,599,893,3879.977381453336
Abbey Road,Westferry,3,599,1250,5180.817720490788
Abbey Road,Woolwich Arsenal,32,599,4428,9235.19160039481
Acton Central,Barking,0,1224,7004,28880.972865664182
Acton Central,Blackhorse Road,0,1224,2955,19049.78805617011
Acton Central,Brondesbury,76,1224,712,6439.2556257838105
Acton Central,Brondesbury Park,31,1224,895,5697.084875423228
Acton Central,Bushey,0,1224,456,20283.379109170284
Acton Central,Caledonian Road & Barnsbury,22,1224,1668,14032.096755979444
Acton Central,Camden Road,52,1224,3784,12267.545294206606
Acton Central,Canada Water,0,1224,20443,19290.07928874831
Acton Central,Canonbury,3,1224,846,15826.7924298094
Acton Central,Carpenders Park,0,1224,340,18320.471265221247
Acton Central,Crouch Hill,2,1224,404,13393.27061981164
Acton Central,Dalston Kingsland,5,1224,2091,17007.959844122655
Acton Central,Denmark Hill,0,1224,2612,19357.89835892665
Acton Central,Edmonton Green,0,1224,783,25002.170069184882
Acton Central,Euston,17,1224,16800,11674.399072071381
Acton Central,Finchley Road & Frognal,52,1224,1529,7919.115178070017
Acton Central,Gospel Oak,18,1224,2025,10278.171828193896
Acton Central,Gunnersbury,102,1224,4775,2169.310990032772
Acton Central,Hackney Central,10,1224,2440,18297.69594442966
Acton Central,Hackney Wick,5,1224,1263,20676.617741918406
Acton Central,Haggerston,2,1224,1184,17998.652530998395
Acton Central,Hampstead Heath,59,1224,2792,9339.626725622322
Acton Central,Harlesden,0,1224,1668,4212.557746357724
Acton Central,Harringay Green Lanes,3,1224,544,14899.881307327787
Acton Central,Harrow & Wealdstone,3,1224,1335,12880.238870772817
Acton Central,Hatch End,0,1224,93,15877.215027020857
Acton Central,Headstone Lane,4,1224,310,14731.10070050022
Acton Central,Highams Park,0,1224,390,24555.682140645215
Acton Central,Highbury & Islington,49,1224,25385,14845.686196880099
Acton Central,Homerton,3,1224,1998,19333.285665170035
Acton Central,Hoxton,4,1224,2181,18833.234110123132
Acton Central,Kensal Green,0,1224,472,4417.5951802480895
Acton Central,Kensal Rise,39,1224,1376,4694.575496267196
Acton Central,Kentish Town West,54,1224,1128,11369.31431388223
Acton Central,Kenton,2,1224,768,11096.420527706607
Acton Central,Kew Gardens,18,1224,792,3949.5334683844585
Acton Central,Kilburn High Road,0,1224,266,6866.675152554406
Acton Central,Leyton Midland Road,0,1224,445,22254.42427397257
Acton Central,Leytonstone High Road,0,1224,314,23468.52291856592
Acton Central,New Cross,1,1224,1027,22156.534671721533
Acton Central,New Cross Gate,0,1224,1340,21921.30446337833
Acton Central,North Wembley,0,1224,365,8773.693152369891
Acton Central,Queen's Park,0,1224,2167,5802.194077977945
Acton Central,Richmond,318,1224,5397,6117.653704122509
Acton Central,Shadwell,0,1224,7447,18682.770777919603
Acton Central,Shoreditch High Street,4,1224,7558,19147.938634205075
Acton Central,South Acton,7,1224,975,1152.496778575868
Acton Central,South Hampstead,3,1224,236,7843.0086785823405
Acton Central,South Kenton,0,1224,261,9709.428037681813
Acton Central,South Tottenham,0,1224,552,16758.674890669576
Acton Central,Stonebridge Park,0,1224,729,5707.496961590396
Acton Central,Stratford,11,1224,55954,22249.536628283815
Acton Central,Surrey Quays,0,1224,1005,19839.585932907852
Acton Central,Upper Holloway,4,1224,898,12178.368894659612
Acton Central,Watford High Street,3,1224,790,21597.590918512815
Acton Central,Watford Junction,5,1224,1367,23003.589873706875
Acton Central,Wembley Central,1,1224,1327,7425.588178088645
Acton Central,West Hampstead,141,1224,5856,7288.4709953286465
Acton Central,White Hart Lane,0,1224,641,22603.805837374894
Acton Central,Whitechapel,1,1224,17633,17952.141229392742
Acton Central,Willesden Junction,90,1224,4165,3065.371374658044
Acton Central,Woodgrange Park,0,1224,242,26708.602449244125
Acton Town,Aldgate,3,3745,7782,16943.75144166295
Acton Town,Aldgate East,17,3745,7932,17185.79576709542
Acton Town,Alperton,35,3745,741,4973.037607844393
Acton Town,Amersham,0,3745,256,37455.118055276595
Acton Town,Angel,11,3745,8103,15763.67606874644
Acton Town,Archway,1,3745,2193,18283.19609352684
Acton Town,Arnos Grove,1,3745,748,25901.027685646855
Acton Town,Arsenal,0,3745,315,17900.02906732493
Acton Town,Baker Street,19,3745,14973,12097.171820293173
Acton Town,Balham,0,3745,3814,18527.563073703674
Acton Town,Bank and Monument,66,3745,78549,15506.858259860704
Acton Town,Barbican,9,3745,9134,16902.254253742827
Acton Town,Barking,1,3745,7004,29077.947467841648
Acton Town,Barkingside,0,3745,262,34635.83961150605
Acton Town,Barons Court,84,3745,2956,5270.453280074943
Acton Town,Bayswater,3,3745,615,9786.720321401996
Acton Town,Becontree,0,3745,456,32372.383308707675
Acton Town,Belsize Park,0,3745,2255,17279.012555079753
Acton Town,Bermondsey,6,3745,3172,16806.49278529225
Acton Town,Bethnal Green,2,3745,4660,18755.541669292896
Acton Town,Blackfriars,39,3745,10849,14337.58185482627
Acton Town,Blackhorse Road,0,3745,2955,24646.442587410093
Acton Town,Bond Street,27,3745,20967,12250.135620043648
Acton Town,Borough,1,3745,3254,15233.285035831517
Acton Town,Boston Manor,62,3745,892,3511.6679282710056
Acton Town,Bounds Green,1,3745,778,24546.780258884814
Acton Town,Bow Road,1,3745,1193,20883.424242134453
Acton Town,Brixton,16,3745,5084,16094.3115652718
Acton Town,Bromley-by-Bow,2,3745,1613,21892.189250291594
Acton Town,Burnt Oak,0,3745,649,26950.288758618506
Acton Town,Caledonian Road,2,3745,1803,16618.024330199332
Acton Town,Camden Town,3,3745,6348,15247.156279874254
Acton Town,Canada Water,11,3745,20443,17795.994422661344
Acton Town,Canary Wharf,57,3745,58772,20397.814872497605
Acton Town,Canning Town,3,3745,15428,22941.94890956033
Acton Town,Cannon Street,18,3745,4698,15246.010565463577
Acton Town,Canons Park,0,3745,526,24459.194119262793
Acton Town,Chalfont & Latimer,0,3745,554,34069.45175793639
Acton Town,Chalk Farm,0,3745,1329,16240.922156747862
Acton Town,Chancery Lane,20,3745,15391,13817.455888623806
Acton Town,Charing Cross,5,3745,7016,12450.65195601262
Acton Town,Chiswick Park,20,3745,1517,1274.9313280087854
Acton Town,Chorleywood,1,3745,702,30556.597472297242
Acton Town,Clapham Common,3,3745,2020,16102.64393702444
Acton Town,Clapham North,1,3745,1238,15459.889869415048
Acton Town,Clapham South,2,3745,1513,17354.95090086693
Acton Town,Cockfosters,0,3745,262,31089.760367195267
Acton Town,Colindale,0,3745,2081,25643.889002585413
Acton Town,Colliers Wood,0,3745,865,21857.99676169602
Acton Town,Covent Garden,44,3745,4355,12619.056613797296
Acton Town,Croxley,0,3745,340,26518.13202788927
Acton Town,Dagenham East,0,3745,649,35079.76530586582
Acton Town,Dagenham Heathway,0,3745,1108,33800.559919881154
Acton Town,Dollis Hill,0,3745,847,16674.32726102186
Acton Town,Ealing Broadway,107,3745,4846,2591.8865980367955
Acton Town,Ealing Common,13,3745,915,1026.6123345669619
Acton Town,Earl's Court,129,3745,6613,6775.22589911411
Acton Town,East Acton,2,3745,1505,7200.724198051897
Acton Town,East Finchley,0,3745,1253,21622.39586795001
Acton Town,East Ham,1,3745,2062,26655.663815094726
Acton Town,East Putney,13,3745,1877,11040.661049630497
Acton Town,Eastcote,2,3745,364,13360.667083193326
Acton Town,Edgware,1,3745,772,28468.403237872208
Acton Town,Edgware Road,12,3745,6868,11062.352962903298
Acton Town,Elephant & Castle,20,3745,6427,14533.3426292222
Acton Town,Embankment,16,3745,10220,12790.977786835747
Acton Town,Euston,14,3745,16800,13873.580178891827
Acton Town,Euston Square,3,3745,8093,13543.922805192442
